# LZ conversion factors Y for operators (4,4) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (14:52:45)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 3.359141081437293358e-07 1.359152377995271321e-06 1.497559228293117888e-05
1.293000681531550811e+01 3.096821513946911203e-07 1.189689944096563202e-06 1.417482569681892187e-05
1.774768329877785433e+01 3.240397560994523057e-07 1.155893344768033377e-06 1.540651458102438529e-05
2.436040962489102668e+01 3.589015129290245685e-07 1.147348036949458907e-06 1.804900369513438418e-05
3.343701524882109766e+01 4.024022654934711388e-07 1.149854360756846203e-06 2.133990875559676787e-05
4.589553320185178364e+01 4.381502776457909834e-07 1.154242021835079370e-06 2.406174247480973139e-05
6.299605249474369373e+01 4.618649451612154359e-07 1.157542173977582663e-06 2.587600838824902645e-05
8.646816701021307949e+01 4.764135178686850303e-07 1.159713074771976385e-06 2.699153780647120440e-05
1.186859114184965591e+02 4.852518152131801408e-07 1.161151496583330645e-06 2.766944760366001372e-05
1.629078776190019084e+02 4.907134665212666742e-07 1.162130958099743343e-06 2.808802714567244500e-05
2.236067977499789663e+02 4.941748188491041458e-07 1.162813962320776188e-06 2.835293911946449441e-05
3.069219287046186651e+02 4.964261274427123961e-07 1.163298551371152770e-06 2.852496604755295055e-05
4.212799935764559223e+02 4.979253593848217972e-07 1.163646224977526983e-06 2.863934202890885191e-05
5.782474837716208640e+02 4.989441003080725430e-07 1.163897616693773156e-06 2.871694582509880806e-05
7.937005259840999543e+02 4.996479371302221950e-07 1.164080420263277448e-06 2.877048993171849663e-05
1.089430637619929712e+03 5.001407353165083098e-07 1.164213956849483438e-06 2.880793497972483475e-05
1.495348781221220406e+03 5.004894133299436241e-07 1.164311890908850843e-06 2.883440098722200214e-05
2.052510642058783560e+03 5.007381200261720794e-07 1.164383927265658390e-06 2.885326070913246752e-05
2.817269113847842618e+03 5.009165545880254738e-07 1.164436902677531968e-06 2.886678080460374025e-05
3.866973986492824224e+03 5.010449740807324400e-07 1.164475487566401770e-06 2.887650752800773827e-05
5.307795318065535866e+03 5.011372727523074033e-07 1.164502606728317000e-06 2.888350409333819571e-05
7.285461768526097330e+03 5.012029002646619023e-07 1.164519636437018289e-06 2.888849916771528173e-05
1.000000000000000000e+04 5.012480489046692826e-07 1.164526399459868771e-06 2.889197993402983075e-05
