# LZ conversion factors Y for operators (111,111) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:28:21)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 1.449426812688517714e+02 2.063403065428150569e+02 2.899677938774856898e+02
1.293000681531550811e+01 1.229254265042817735e+02 1.752573380638102662e+02 2.462499134308964983e+02
1.774768329877785433e+01 1.088283794833320428e+02 1.551357734254477521e+02 2.175272740469205814e+02
2.436040962489102668e+01 9.594777969867951128e+01 1.367119622775364007e+02 1.911095311807866324e+02
3.343701524882109766e+01 8.585021937812494741e+01 1.222731454045550805e+02 1.703644336577068259e+02
4.589553320185178364e+01 7.923782870817547064e+01 1.128246152157964559e+02 1.567785285991582214e+02
6.299605249474369373e+01 7.531331596199805745e+01 1.072197866267830477e+02 1.487173684689615811e+02
8.646816701021307949e+01 7.304384930302089174e+01 1.039795264751152786e+02 1.440565017532959473e+02
1.186859114184965591e+02 7.171512653213639510e+01 1.020826188775397299e+02 1.413275753210464529e+02
1.629078776190019084e+02 7.091581104788899381e+01 1.009415036658447065e+02 1.396856618582566227e+02
2.236067977499789663e+02 7.042008276316414594e+01 1.002337567495734163e+02 1.386671074230326894e+02
3.069219287046186651e+02 7.010349838900761199e+01 9.978173783244363904e+01 1.380164477647977606e+02
4.212799935764559223e+02 6.989595154501456875e+01 9.948537822376519557e+01 1.375897650279005120e+02
5.782474837716208640e+02 6.975680226448376686e+01 9.928666902513043624e+01 1.373036193087025367e+02
7.937005259840999543e+02 6.966176549106488380e+01 9.915094426041579823e+01 1.371081382527578967e+02
1.089430637619929712e+03 6.959588582263164369e+01 9.905685396268499687e+01 1.369726004329922091e+02
1.495348781221220406e+03 6.954968497892090795e+01 9.899086593382119759e+01 1.368775297968826976e+02
2.052510642058783560e+03 6.951699343947828424e+01 9.894417111657551800e+01 1.368102458078314498e+02
2.817269113847842618e+03 6.949369541066248246e+01 9.891089237489023844e+01 1.367622875959503972e+02
3.866973986492824224e+03 6.947698026036923125e+01 9.888701605278457407e+01 1.367278774513055453e+02
5.307795318065535866e+03 6.946488057721514053e+01 9.886973259609509057e+01 1.367029727526803242e+02
7.285461768526097330e+03 6.945597543440088373e+01 9.885701297502970419e+01 1.366846573320162861e+02
1.000000000000000000e+04 6.944918962717073896e+01 9.884732211786041489e+01 1.366707303641267117e+02
