# LZ conversion factors Y for operators (8,8) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:24:48)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 2.430285249100069012e-07 3.471886516120155075e-07 5.092998015455796989e-07
1.293000681531550811e+01 1.656548857327817451e-07 2.376216931057175005e-07 3.566694691018776914e-07
1.774768329877785433e+01 1.231548358273441465e-07 1.771948222383728415e-07 2.749083309005583836e-07
2.436040962489102668e+01 9.824621156325171352e-08 1.419486202565560300e-07 2.307874690357251973e-07
3.343701524882109766e+01 8.170403855575542325e-08 1.187223501286371947e-07 2.046288292023304298e-07
4.589553320185178364e+01 6.997859187524568853e-08 1.023112741042242113e-07 1.869958116674263523e-07
6.299605249474369373e+01 6.204566556130642105e-08 9.120644790316066878e-08 1.750834464934827286e-07
8.646816701021307949e+01 5.693253426180587467e-08 8.404204727333200404e-08 1.673236490469955789e-07
1.186859114184965591e+02 5.369765825188339089e-08 7.950539010310459065e-08 1.623660134338124572e-07
1.629078776190019084e+02 5.164515504393530450e-08 7.662496377316476335e-08 1.591986187910455375e-07
2.236067977499789663e+02 5.032474068213887172e-08 7.477100287516902161e-08 1.571519100481419855e-07
3.069219287046186651e+02 4.945973855773797293e-08 7.355603167924474029e-08 1.558074874860702603e-07
4.212799935764559223e+02 4.888233842277138485e-08 7.274481497191533669e-08 1.549086725739689297e-07
5.782474837716208640e+02 4.849014277269213287e-08 7.219368440508017584e-08 1.542976723789961284e-07
7.937005259840999543e+02 4.821968362009539615e-08 7.181357618787742090e-08 1.538761669842304348e-07
1.089430637619929712e+03 4.803081778013428474e-08 7.154811527565836937e-08 1.535818125481589448e-07
1.495348781221220406e+03 4.789759569301767745e-08 7.136085259754894031e-08 1.533742188964062901e-07
2.052510642058783560e+03 4.780287953430072586e-08 7.122771076759737804e-08 1.532266765218506350e-07
2.817269113847842618e+03 4.773512674626852886e-08 7.113246606002366725e-08 1.531211707861981870e-07
3.866973986492824224e+03 4.768641818232864141e-08 7.106399304798377592e-08 1.530453251573336363e-07
5.307795318065535866e+03 4.765121145074934927e-08 7.101454566894164447e-08 1.529904807975744714e-07
7.285461768526097330e+03 4.762565449696331722e-08 7.097861216659299604e-08 1.529504404611438587e-07
1.000000000000000000e+04 4.760690243385990323e-08 7.095221838246418374e-08 1.529206980644014102e-07
