# LZ conversion factors Y for operators (11,11) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:26:07)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 4.997479218249283863e-04 7.118216144500757406e-04 1.000716987747121960e-03
1.293000681531550811e+01 5.422044050430890362e-04 7.732110150103093955e-04 1.085795759303943581e-03
1.774768329877785433e+01 6.254343714186704666e-04 8.912068410578259962e-04 1.245701118117963210e-03
2.436040962489102668e+01 7.407952744144239484e-04 1.054526600695149512e-03 1.462624432048235988e-03
3.343701524882109766e+01 8.578881806481449988e-04 1.220574911189861288e-03 1.679822564095551389e-03
4.589553320185178364e+01 9.454188906147448831e-04 1.344912168081352413e-03 1.840934266134225785e-03
6.299605249474369373e+01 1.000700453267395172e-03 1.423526538824561403e-03 1.942239419809678241e-03
8.646816701021307949e+01 1.033653299962414111e-03 1.470415583595307369e-03 2.002474239140272869e-03
1.186859114184965591e+02 1.053293798098087469e-03 1.498369021617545691e-03 2.038322747055497722e-03
1.629078776190019084e+02 1.065260395644934081e-03 1.515401504537726906e-03 2.060145400081181497e-03
2.236067977499789663e+02 1.072760041777253174e-03 1.526075559697849483e-03 2.073814510097499609e-03
3.069219287046186651e+02 1.077593729947705966e-03 1.532954665769142074e-03 2.082621485956423317e-03
4.212799935764559223e+02 1.080788837731826461e-03 1.537501368677432478e-03 2.088441691134326761e-03
5.782474837716208640e+02 1.082946953183806403e-03 1.540572123991769361e-03 2.092372380416911409e-03
7.937005259840999543e+02 1.084430889829768405e-03 1.542683424976028098e-03 2.095074957513273686e-03
1.089430637619929712e+03 1.085466039829366793e-03 1.544156104590450971e-03 2.096960155015212615e-03
1.495348781221220406e+03 1.086196387940803173e-03 1.545195093702687612e-03 2.098290282648447233e-03
2.052510642058783560e+03 1.086716228797226548e-03 1.545934584629661416e-03 2.099237083110511420e-03
2.817269113847842618e+03 1.087088599195202730e-03 1.546464276529584602e-03 2.099915334691478900e-03
3.866973986492824224e+03 1.087356269146683716e-03 1.546845023983975647e-03 2.100402875849533869e-03
5.307795318065535866e+03 1.087548440576913090e-03 1.547118373248696594e-03 2.100752798145744376e-03
7.285461768526097330e+03 1.087684884658277626e-03 1.547312451461648787e-03 2.101000963680282711e-03
1.000000000000000000e+04 1.087778480598996763e-03 1.547445580045657063e-03 2.101170600099717609e-03
