# LZ conversion factors Y for operators (105,105) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:27:25)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 1.307967868670259362e-04 1.867870358495777542e-04 2.739585712926863705e-04
1.293000681531550811e+01 7.843303835112541602e-05 1.124763663110524124e-04 1.688058236222372865e-04
1.774768329877785433e+01 5.078732182983642155e-05 7.306089267895870187e-05 1.132155049305475614e-04
2.436040962489102668e+01 3.490895888707999325e-05 5.041463462359750382e-05 8.146910694095762411e-05
3.343701524882109766e+01 2.571789927713748159e-05 3.731741037127408035e-05 6.331973068997331141e-05
4.589553320185178364e+01 2.043070526434934470e-05 2.979001205350128830e-05 5.300793568421877479e-05
6.299605249474369373e+01 1.739595588702089603e-05 2.547153375112296814e-05 4.713722789917987381e-05
8.646816701021307949e+01 1.563250578953058437e-05 2.296258107719297616e-05 4.374149711021983668e-05
1.186859114184965591e+02 1.458377152620034814e-05 2.147054657674613614e-05 4.172740861052769238e-05
1.629078776190019084e+02 1.394259802695445575e-05 2.055832688045115882e-05 4.049812259092639425e-05
2.236067977499789663e+02 1.353941009376693539e-05 1.998467051233363784e-05 3.972604090642740054e-05
3.069219287046186651e+02 1.327905035098402882e-05 1.961421080710418346e-05 3.922792957112596811e-05
4.212799935764559223e+02 1.310686572807766192e-05 1.936920123796614455e-05 3.889876074746488659e-05
5.782474837716208640e+02 1.299062846424264158e-05 1.920379476875077985e-05 3.867668843302731434e-05
7.937005259840999543e+02 1.291080351491329883e-05 1.909019950411586615e-05 3.852426513954427081e-05
1.089430637619929712e+03 1.285521912524041335e-05 1.901109802086704917e-05 3.841817959639187317e-05
1.495348781221220406e+03 1.281608828646528543e-05 1.895541061617900537e-05 3.834352958708450130e-05
2.052510642058783560e+03 1.278830595302636720e-05 1.891587313658451243e-05 3.829055117291475758e-05
2.817269113847842618e+03 1.276845138693681787e-05 1.888761774357617881e-05 3.825270372886206151e-05
3.866973986492824224e+03 1.275418809954128362e-05 1.886731920759679451e-05 3.822551854486636193e-05
5.307795318065535866e+03 1.274389278170133316e-05 1.885266690353429043e-05 3.820588647027333058e-05
7.285461768526097330e+03 1.273641909474175412e-05 1.884202861276160820e-05 3.819160347768904540e-05
1.000000000000000000e+04 1.273094260238943240e-05 1.883422970294320293e-05 3.818107066017470489e-05
