# LZ conversion factors Y for operators (101,101) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:26:33)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 3.138408336590817780e+05 4.466600810774838901e+05 6.275551695108286804e+05
1.293000681531550811e+01 2.418438862367711845e+05 3.447409218243352370e+05 4.844518901319180732e+05
1.774768329877785433e+01 1.965521546820691437e+05 2.801923189990181709e+05 3.932221311189823900e+05
2.436040962489102668e+01 1.591711513810060860e+05 2.268501118241990625e+05 3.177735064897208358e+05
3.343701524882109766e+01 1.322660133819910407e+05 1.884547808961186674e+05 2.634844482245040126e+05
4.589553320185178364e+01 1.156330541593474918e+05 1.647233082976322621e+05 2.299453430688854132e+05
6.299605249474369373e+01 1.060975662804323365e+05 1.511206102581625455e+05 2.107277278832339798e+05
8.646816701021307949e+01 1.006886565955802071e+05 1.434052854787354008e+05 1.998298094980408787e+05
1.186859114184965591e+02 9.755374865338995005e+04 1.389337330247996724e+05 1.935142463590167172e+05
1.629078776190019084e+02 9.567740253592695808e+04 1.362573302226878586e+05 1.897341789685834956e+05
2.236067977499789663e+02 9.451634365140723821e+04 1.346011554061948846e+05 1.873949905334890354e+05
3.069219287046186651e+02 9.377541300831525587e+04 1.335442248734880704e+05 1.859021115012637165e+05
4.212799935764559223e+02 9.328963573038038157e+04 1.328512402879247384e+05 1.849232440636426909e+05
5.782474837716208640e+02 9.296378289607868646e+04 1.323863781494627474e+05 1.842665748763241281e+05
7.937005259840999543e+02 9.274106746558904706e+04 1.320686415427840548e+05 1.838177153307620028e+05
1.089430637619929712e+03 9.258654628278616292e+04 1.318481880464181886e+05 1.835062719160211273e+05
1.495348781221220406e+03 9.247807589400769211e+04 1.316934311339199194e+05 1.832876319592594227e+05
2.052510642058783560e+03 9.240124215638474561e+04 1.315838088512981776e+05 1.831327523919469386e+05
2.817269113847842618e+03 9.234643337344910833e+04 1.315056094640344381e+05 1.830222651919224591e+05
3.866973986492824224e+03 9.230709897266064945e+04 1.314494878629294981e+05 1.829429703034454724e+05
5.307795318065535866e+03 9.227867960598696664e+04 1.314089395446825074e+05 1.828856808097508911e+05
7.285461768526097330e+03 9.225792620311553765e+04 1.313793293375197682e+05 1.828438516120637651e+05
1.000000000000000000e+04 9.224244820312279626e+04 1.313572470174315386e+05 1.828126699478778755e+05
