# LZ conversion factors Y for operators (7,7) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:24:07)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 4.488136219751767054e-14 1.326370304615298155e-12 4.883417410211913662e-11
1.293000681531550811e+01 2.761873476185092382e-14 8.569452710871537801e-13 2.930871136060545166e-11
1.774768329877785433e+01 1.972324986187644331e-14 5.948600782880184937e-13 2.010199255745906110e-11
2.436040962489102668e+01 1.535790689399237779e-14 4.418380911123726277e-13 1.467639174391744453e-11
3.343701524882109766e+01 1.255471512141306515e-14 3.436587844371504019e-13 1.123623077812843193e-11
4.589553320185178364e+01 1.057484973221223133e-14 2.800442142649672430e-13 9.064083705960354111e-12
6.299605249474369373e+01 9.227825028067611861e-15 2.400682511166910052e-13 7.728814531487931609e-12
8.646816701021307949e+01 8.355206864603036624e-15 2.154879756396751315e-13 6.919457956547616105e-12
1.186859114184965591e+02 7.801199816326056119e-15 2.003652974568105849e-13 6.425825771332890118e-12
1.629078776190019084e+02 7.448841829653380267e-15 1.909268740715350885e-13 6.119362930624608002e-12
2.236067977499789663e+02 7.221775288237524242e-15 1.849121963185082073e-13 5.924722135600300402e-12
3.069219287046186651e+02 7.072835963445118774e-15 1.809926949794272346e-13 5.798168109354806312e-12
4.212799935764559223e+02 6.973321527966157237e-15 1.783894738495542456e-13 5.714210056480356044e-12
5.782474837716208640e+02 6.905676866263042436e-15 1.766255222030637139e-13 5.657371832314478255e-12
7.937005259840999543e+02 6.859001980881930780e-15 1.754109982725618596e-13 5.618261727156940211e-12
1.089430637619929712e+03 6.826393307795805359e-15 1.745637422337738534e-13 5.590990159329194046e-12
1.495348781221220406e+03 6.803383315269931555e-15 1.740110315558265775e-13 5.573292229664869359e-12
2.052510642058783560e+03 6.787019094603103327e-15 1.736504895983201780e-13 5.561819320187771609e-12
2.817269113847842618e+03 6.775310289015589933e-15 1.733467539386564390e-13 5.552048769976781400e-12
3.866973986492824224e+03 6.766891665913374210e-15 1.731286091596731285e-13 5.545031474574173938e-12
5.307795318065535866e+03 6.760811978254987556e-15 1.729710003413004468e-13 5.539962501333707148e-12
7.285461768526097330e+03 6.756398390698137357e-15 1.727491321679949356e-13 5.532612166492431076e-12
1.000000000000000000e+04 6.753166939185153031e-15 1.726654584007757293e-13 5.529921595937455946e-12
