# LZ conversion factors Y for operators (4,5) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:29:17)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 5.935496949540292758e-11 8.014738905530578002e-10 -6.803773796819790749e-09
1.293000681531550811e+01 5.628788854619408177e-11 7.220884221473876794e-10 -7.029393479482883546e-09
1.774768329877785433e+01 6.576126732063703730e-11 8.127535915775680284e-10 -7.724689972340506508e-09
2.436040962489102668e+01 8.451123302006284740e-11 9.922288839154635343e-10 -8.507793723087404559e-09
3.343701524882109766e+01 1.072303507201765764e-10 1.199023340328919118e-09 -9.118164790874757469e-09
4.589553320185178364e+01 1.258011092702287731e-10 1.362641650005139552e-09 -9.483220039958582681e-09
6.299605249474369373e+01 1.381210781113788087e-10 1.469298427619594764e-09 -9.679832152289905517e-09
8.646816701021307949e+01 1.456856283898155065e-10 1.534273007758974041e-09 -9.786117025660853198e-09
1.186859114184965591e+02 1.502832522953656337e-10 1.573674369474593727e-09 -9.846286202685749106e-09
1.629078776190019084e+02 1.531243617775427066e-10 1.598038292191466169e-09 -9.882120487604186440e-09
2.236067977499789663e+02 1.549243150879839798e-10 1.613505180974393303e-09 -9.904435088194357801e-09
3.069219287046186651e+02 1.560943970177107633e-10 1.623585084231730466e-09 -9.918848597381370240e-09
4.212799935764559223e+02 1.568730689283573487e-10 1.630310517145605021e-09 -9.928434879997350990e-09
5.782474837716208640e+02 1.574018061881684314e-10 1.634886220041018689e-09 -9.934955791934173523e-09
7.937005259840999543e+02 1.577669009170547770e-10 1.638052837301892745e-09 -9.939477374344429668e-09
1.089430637619929712e+03 1.580222832941158997e-10 1.640270884590461923e-09 -9.942655484585179387e-09
1.495348781221220406e+03 1.582028308540405620e-10 1.641842034363507944e-09 -9.944914056927047631e-09
2.052510642058783560e+03 1.583373690169222211e-10 1.642960115463784118e-09 -9.946532630782513594e-09
2.817269113847842618e+03 1.584296126250390723e-10 1.643764505377076721e-09 -9.947698784015273071e-09
3.866973986492824224e+03 1.584937900796849876e-10 1.644344731581073755e-09 -9.948539174394882849e-09
5.307795318065535866e+03 1.585415838357678253e-10 1.644761594574621322e-09 -9.949138141999411988e-09
7.285461768526097330e+03 1.586263894095796197e-10 1.645034213723334317e-09 -9.949548657600346213e-09
1.000000000000000000e+04 1.586030082543205099e-10 1.645265964785659473e-09 -9.949798161738360364e-09
