# LZ conversion factors Y for operators (1,1) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:21:55)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 1.074651352789168124e+00 1.530287211263400504e+00 2.150934491080265687e+00
1.293000681531550811e+01 1.020386873810583017e+00 1.454988094752928784e+00 2.043898035567345062e+00
1.774768329877785433e+01 1.012073322102358786e+00 1.442527234435594163e+00 2.020043883816868835e+00
2.436040962489102668e+01 1.008418849312834320e+00 1.436268472515931371e+00 2.001333783646094489e+00
3.343701524882109766e+01 1.006223340748281680e+00 1.432365988155634540e+00 1.985281703622211680e+00
4.589553320185178364e+01 1.004312341420261490e+00 1.429247217986564511e+00 1.972783434702489069e+00
6.299605249474369373e+01 1.002755708633021214e+00 1.426847978711839104e+00 1.964200200319693002e+00
8.646816701021307949e+01 1.001680939024748973e+00 1.425229053050445671e+00 1.958786754540302821e+00
1.186859114184965591e+02 1.001009881887908737e+00 1.424225688785066168e+00 1.955494846887070759e+00
1.629078776190019084e+02 1.000607454071515745e+00 1.423624134944692532e+00 1.953498828649406827e+00
2.236067977499789663e+02 1.000368917132551383e+00 1.423266237631685360e+00 1.952273238810514400e+00
3.069219287046186651e+02 1.000227209435253783e+00 1.423052259587666679e+00 1.951506217641751251e+00
4.212799935764559223e+02 1.000142306418602356e+00 1.422922969082678346e+00 1.951016094318132277e+00
5.782474837716208640e+02 1.000090915173557526e+00 1.422843906245620182e+00 1.950696612654533979e+00
7.937005259840999543e+02 1.000059554714103349e+00 1.422795074908147051e+00 1.950484721320615789e+00
1.089430637619929712e+03 1.000040377866793229e+00 1.422764780784096406e+00 1.950342243260075215e+00
1.495348781221220406e+03 1.000028739294702262e+00 1.422746058986238626e+00 1.950245486729955680e+00
2.052510642058783560e+03 1.000021789733992250e+00 1.422734611098476432e+00 1.950179296394379369e+00
2.817269113847842618e+03 1.000017647713768332e+00 1.422727589557261307e+00 1.950133567210101004e+00
3.866973986492824224e+03 1.000014884856295305e+00 1.422722840490192153e+00 1.950101116965750503e+00
5.307795318065535866e+03 1.000012159931090272e+00 1.422718369737395516e+00 1.950076282373712777e+00
7.285461768526097330e+03 1.000007906230836907e+00 1.422711886399437020e+00 1.950053869246942462e+00
1.000000000000000000e+04 9.999999999999997780e-01 1.422700324377045966e+00 1.950028221028691000e+00
