# LZ conversion factors Y for operators (5,5) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:23:44)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 4.516021527186879376e-10 6.501860034769199832e-10 9.468687827692838542e-10
1.293000681531550811e+01 3.593690889109342126e-10 5.156074317020688345e-10 7.740138954444028656e-10
1.774768329877785433e+01 3.208841046411071336e-10 4.617116716303210258e-10 7.173497447073157997e-10
2.436040962489102668e+01 3.150359661491957652e-10 4.554083863980251644e-10 7.460317261479262946e-10
3.343701524882109766e+01 3.067737000275229430e-10 4.465505288850874104e-10 7.834351906794377930e-10
4.589553320185178364e+01 2.873914236427531241e-10 4.215074067431592657e-10 7.922708805470551602e-10
6.299605249474369373e+01 2.666917818530573547e-10 3.937712190666462911e-10 7.840172862262740105e-10
8.646816701021307949e+01 2.503609499263846424e-10 3.715870005657597247e-10 7.722700361041776667e-10
1.186859114184965591e+02 2.389343928235251185e-10 3.559609410413918834e-10 7.623004626496918632e-10
1.629078776190019084e+02 2.312766531868137800e-10 3.454502812758672488e-10 7.549864300851697366e-10
2.236067977499789663e+02 2.261915385251684590e-10 3.384546939601462704e-10 7.498881409078851809e-10
3.069219287046186651e+02 2.227953030635577457e-10 3.337748353190441381e-10 7.463860315174336139e-10
4.212799935764559223e+02 2.205003706759635776e-10 3.306101598309367920e-10 7.439791718061468754e-10
5.782474837716208640e+02 2.189290886522909051e-10 3.284419217203878952e-10 7.423139551312428884e-10
7.937005259840999543e+02 2.178397029822172039e-10 3.269380402925755051e-10 7.411519874778562535e-10
1.089430637619929712e+03 2.170761985386127920e-10 3.258837136223711399e-10 7.403344044428468576e-10
1.495348781221220406e+03 2.165364095981604840e-10 3.251378911206413764e-10 7.397550378757626208e-10
2.052510642058783560e+03 2.161518825364739950e-10 3.246067194609362669e-10 7.393418905993277111e-10
2.817269113847842618e+03 2.158764774612494907e-10 3.242262521850097580e-10 7.390458327997744332e-10
3.866973986492824224e+03 2.156761784064011786e-10 3.239534888702168557e-10 7.388329232525015707e-10
5.307795318065535866e+03 2.155298745607660769e-10 3.237570939604115669e-10 7.386782860395044220e-10
7.285461768526097330e+03 2.154257280685878668e-10 3.236130966265318877e-10 7.385646053180719570e-10
1.000000000000000000e+04 2.153491831082380937e-10 3.234941390893540440e-10 7.385053557713251947e-10
