# LZ conversion factors Y for operators (4,6) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:29:36)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 1.980503862498787603e-12 1.116764822658815891e-10 4.463838464217170176e-09
1.293000681531550811e+01 1.869632789390656570e-12 1.126433064565238949e-10 4.605926363323373012e-09
1.774768329877785433e+01 1.990233638770753158e-12 1.288846512526813965e-10 5.451863893836088544e-09
2.436040962489102668e+01 2.163767094540592326e-12 1.549704743493269915e-10 6.905643518795537465e-09
3.343701524882109766e+01 2.316745036676562462e-12 1.832904499610131513e-10 8.576441915371269429e-09
4.589553320185178364e+01 2.417772348732730473e-12 2.051856229379471379e-10 9.911717863273591835e-09
6.299605249474369373e+01 2.476772475541747535e-12 2.192811572514478684e-10 1.078708418016926260e-08
8.646816701021307949e+01 2.510566831467682457e-12 2.277889986050998848e-10 1.132042006727820043e-08
1.186859114184965591e+02 2.530471395471385087e-12 2.329066741043486334e-10 1.164266107621573498e-08
1.629078776190019084e+02 2.542698067676376874e-12 2.360478384413875372e-10 1.184080852799039411e-08
2.236067977499789663e+02 2.550375952913556671e-12 2.380286433547802749e-10 1.196581052979425014e-08
3.069219287046186651e+02 2.555470704685673042e-12 2.393118971147550007e-10 1.204677314024882098e-08
4.212799935764559223e+02 2.558896592299309165e-12 2.401637793191232476e-10 1.210048891387877496e-08
5.782474837716208640e+02 2.561570228905133897e-12 2.407410149665903931e-10 1.213687203990390609e-08
7.937005259840999543e+02 2.563669101276913629e-12 2.411388932103236031e-10 1.216194039499973208e-08
1.089430637619929712e+03 2.564050369576834247e-12 2.414175680201406298e-10 1.217945213711797596e-08
1.495348781221220406e+03 2.564989360766538412e-12 2.416141449524115900e-10 1.219181794771772096e-08
2.052510642058783560e+03 2.565579840057593145e-12 2.417542485497662994e-10 1.220062345342913292e-08
2.817269113847842618e+03 2.566005508638074386e-12 2.418544233477606084e-10 1.220691659287063082e-08
3.866973986492824224e+03 2.566316291449506103e-12 2.419266642345098380e-10 1.221145373034024371e-08
5.307795318065535866e+03 2.566536297619116887e-12 2.419786011600964013e-10 1.221471755298665536e-08
7.285461768526097330e+03 2.566689738229369829e-12 2.420156133526007052e-10 1.221705018974741950e-08
1.000000000000000000e+04 2.566788645700928533e-12 2.420412677648316281e-10 1.221868160070788579e-08
