# LZ conversion factors Y for operators (104,105) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (12:30:21)
5.000000000000000888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.862982963688712523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.420107031976296952e+00 3.267543576983795387e-08 4.416317980472820958e-07 -3.667810576926990836e-06
1.293000681531550811e+01 2.695985289942354012e-08 3.481108479480193522e-07 -3.334045264342219574e-06
1.774768329877785433e+01 2.653755391440468287e-08 3.330726660795501449e-07 -3.189015356969644453e-06
2.436040962489102668e+01 2.759254808634301402e-08 3.344884736230172362e-07 -3.031405655573383892e-06
3.343701524882109766e+01 2.923601042630371934e-08 3.420212967185429503e-07 -2.875226120133737932e-06
4.589553320185178364e+01 3.063715213193123181e-08 3.490730365471606158e-07 -2.755054332551101269e-06
6.299605249474369373e+01 3.157564725568183269e-08 3.538988048274110205e-07 -2.676831718236972297e-06
8.646816701021307949e+01 3.215586418083944631e-08 3.569352161703325840e-07 -2.629363417080848383e-06
1.186859114184965591e+02 3.251192303468345031e-08 3.588427127144883781e-07 -2.600912259421348125e-06
1.629078776190019084e+02 3.273454582962702124e-08 3.600677042787766518e-07 -2.583618196847298985e-06
2.236067977499789663e+02 3.287735925002674446e-08 3.608749902737793894e-07 -2.572855240107705549e-06
3.069219287046186651e+02 3.297132959472739568e-08 3.614195709910532098e-07 -2.565982496595108944e-06
4.212799935764559223e+02 3.303456587969581617e-08 3.617940754063590514e-07 -2.561485217994803784e-06
5.782474837716208640e+02 3.307792166507510773e-08 3.620555749107577632e-07 -2.558477857576644128e-06
7.937005259840999543e+02 3.310810160038471214e-08 3.622403446144324294e-07 -2.556429662964285621e-06
1.089430637619929712e+03 3.312936359403295910e-08 3.623721050074140208e-07 -2.555013842367996979e-06
1.495348781221220406e+03 3.314448420490163510e-08 3.624667379796233138e-07 -2.554023661607653590e-06
2.052510642058783560e+03 3.315531362693242053e-08 3.625350722943674344e-07 -2.553324856379391281e-06
2.817269113847842618e+03 3.316310970922356755e-08 3.625845743504477890e-07 -2.552827979703214268e-06
3.866973986492824224e+03 3.316873176748023591e-08 3.626204050088476171e-07 -2.552471865568245633e-06
5.307795318065535866e+03 3.317274060553694388e-08 3.626460924538355347e-07 -2.552213375766626884e-06
7.285461768526097330e+03 3.317558804044063493e-08 3.626638822961735333e-07 -2.552020735222285398e-06
1.000000000000000000e+04 3.317749316512630851e-08 3.626750509192934929e-07 -2.551868900563906600e-06
