# Xenon1T conversion factors Y for operators (11,11) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:37:40)
5.000000000000000888e+00 1.017239230982125349e-04 1.460218588069824009e-04 2.086181824910410374e-04
6.862982963688712523e+00 1.582105258484802564e-04 2.269242439422486011e-04 3.234835881163977645e-04
9.420107031976296952e+00 2.422308846494833237e-04 3.470362968036598854e-04 4.930852489252921488e-04
1.293000681531550811e+01 3.327389711944288720e-04 4.760195984134404880e-04 6.734794597280584043e-04
1.774768329877785433e+01 4.492537854535670855e-04 6.414153625311493035e-04 9.013839182370998130e-04
2.436040962489102668e+01 5.949587024038343469e-04 8.479179437492957326e-04 1.180072609556837840e-03
3.343701524882109766e+01 7.521447996122854023e-04 1.071498143434788074e-03 1.474353692957759828e-03
4.589553320185178364e+01 8.865614405745163339e-04 1.263818865561512541e-03 1.722440715823314898e-03
6.299605249474369373e+01 9.811703280674544548e-04 1.399846876151623204e-03 1.895650710608362544e-03
8.646816701021307949e+01 1.041345197884747812e-03 1.486640098190987903e-03 2.005333502337849037e-03
1.186859114184965591e+02 1.078443311258548993e-03 1.540246127037833701e-03 2.072789247923144049e-03
1.629078776190019084e+02 1.101438708149713288e-03 1.573507257087493469e-03 2.114544266193839426e-03
2.236067977499789663e+02 1.115980604908944039e-03 1.594552035879129694e-03 2.140928454904871426e-03
3.069219287046186651e+02 1.125392696981677033e-03 1.608176780086594936e-03 2.157996754522458101e-03
4.212799935764559223e+02 1.131626386002292138e-03 1.617201710042743103e-03 2.169297695431335934e-03
5.782474837716208640e+02 1.135839919880404520e-03 1.623302322177772169e-03 2.176934912050914554e-03
7.937005259840999543e+02 1.138737334799466705e-03 1.627497399728271201e-03 2.182185932738566619e-03
1.089430637619929712e+03 1.140757757680968369e-03 1.630422695781987659e-03 2.185847325542400205e-03
1.495348781221220406e+03 1.142180937494988342e-03 1.632485913140153478e-03 2.188428910819828054e-03
2.052510642058783560e+03 1.143194104610575131e-03 1.633948720409599247e-03 2.190264932156332951e-03
2.817269113847842618e+03 1.143919292178087899e-03 1.634998634039114317e-03 2.191579107887079835e-03
3.866973986492824224e+03 1.144440502484112519e-03 1.635753226614121989e-03 2.192523623114849256e-03
5.307795318065535866e+03 1.144815488712577767e-03 1.636296134449936835e-03 2.193203049420782477e-03
7.285461768526097330e+03 1.145084009249052251e-03 1.636684947875016553e-03 2.193689291540800584e-03
1.000000000000000000e+04 1.145273034889030504e-03 1.636958756482953959e-03 2.194030997945606819e-03
