# Xenon1T conversion factors Y for operators (10,10) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:34:39)
5.000000000000000888e+00 1.658972212699082959e-12 8.396562152040552899e-11 3.070674399926574343e-09
6.862982963688712523e+00 2.551543387479354197e-12 1.288731337904441862e-10 4.796922647587093507e-09
9.420107031976296952e+00 3.541571101546366145e-12 1.956141631999521621e-10 7.453364744951905588e-09
1.293000681531550811e+01 4.738892669991295521e-12 2.671192388799471266e-10 1.048862389878924717e-08
1.774768329877785433e+01 5.966268567937896414e-12 3.634556647969858146e-10 1.492940734458014143e-08
2.436040962489102668e+01 6.917726461784333902e-12 4.931956278489983828e-10 2.160934746712834049e-08
3.343701524882109766e+01 7.948523688776973248e-12 6.474278390661585842e-10 3.057647900866652923e-08
4.589553320185178364e+01 8.850616718905705067e-12 7.903121783828880886e-10 3.957999287830794326e-08
6.299605249474369373e+01 9.253067547550069216e-12 8.962689465719541863e-10 4.655607320888683836e-08
8.646816701021307949e+01 9.445716896291359646e-12 9.658059085577189675e-10 5.124172607693868452e-08
1.186859114184965591e+02 9.578246686573655065e-12 1.009469955563434215e-09 5.422128824481648229e-08
1.629078776190019084e+02 9.658409217541891399e-12 1.036850820438071259e-09 5.610217697533588475e-08
2.236067977499789663e+02 9.708678026294132002e-12 1.054306383984369629e-09 5.730494388729822771e-08
3.069219287046186651e+02 9.741222688772186317e-12 1.065664311816935083e-09 5.808912810895257018e-08
4.212799935764559223e+02 9.755035559351036767e-12 1.073220631167877546e-09 5.861103976600901515e-08
5.782474837716208640e+02 9.636747466612512045e-12 1.078406195739452637e-09 5.896499792538146461e-08
7.937005259840999543e+02 9.647279513015868065e-12 1.081934994774146012e-09 5.920895717864391439e-08
1.089430637619929712e+03 9.654664702774076066e-12 1.084398628905018833e-09 5.937934929121153591e-08
1.495348781221220406e+03 9.659898069654366865e-12 1.086139622630436103e-09 5.949965253712205948e-08
2.052510642058783560e+03 9.663636375125351927e-12 1.087378923098302353e-09 5.958522931817115545e-08
2.817269113847842618e+03 9.666321795663358804e-12 1.088263348536287317e-09 5.964648116906359538e-08
3.866973986492824224e+03 9.668255921448701497e-12 1.088901283266249360e-09 5.969068947508191881e-08
5.307795318065535866e+03 9.669645067060394217e-12 1.089407072815383911e-09 5.972239471571111331e-08
7.285461768526097330e+03 9.670628303818583766e-12 1.089692762438244391e-09 5.974534733392468515e-08
1.000000000000000000e+04 9.671294527993564080e-12 1.089924283545484222e-09 5.976154141608307657e-08
