# Xenon1T conversion factors Y for operators (106,106) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:48:02)
5.000000000000000888e+00 1.035496889828777328e-09 5.203016861851314336e-08 1.900291148174217856e-06
6.862982963688712523e+00 1.029653866110940587e-09 5.140846838003833510e-08 1.905488612945493744e-06
9.420107031976296952e+00 9.808650482785794691e-10 5.104582249350893237e-08 1.932283669729488554e-06
1.293000681531550811e+01 9.297176756997668335e-10 5.068199922889035149e-08 1.964015808850089804e-06
1.774768329877785433e+01 8.769884551740990111e-10 5.074045653876907320e-08 2.029344163722959984e-06
2.436040962489102668e+01 8.216029788595759896e-10 5.130017790417458029e-08 2.140362946861299446e-06
3.343701524882109766e+01 7.682006070458466814e-10 5.230757818986865429e-08 2.292753290224347750e-06
4.589553320185178364e+01 7.250618955964519610e-10 5.338776893995127722e-08 2.444455447188662945e-06
6.299605249474369373e+01 6.953641892544364893e-10 5.423212608858727096e-08 2.560676154487511086e-06
8.646816701021307949e+01 6.766679857239562475e-10 5.479999965022609666e-08 2.638208477011144987e-06
1.186859114184965591e+02 6.652408465037864474e-10 5.516320260745353666e-08 2.687403442057523154e-06
1.629078776190019084e+02 6.582282465128853709e-10 5.539511422564130931e-08 2.718493400463039121e-06
2.236067977499789663e+02 6.538514984220085700e-10 5.554579944950826063e-08 2.738440922479129598e-06
3.069219287046186651e+02 6.510432186760787461e-10 5.564554835602043713e-08 2.751493441652494538e-06
4.212799935764559223e+02 6.492078604251073022e-10 5.571270838431101456e-08 2.760215531971708115e-06
5.782474837716208640e+02 6.481839936276437131e-10 5.575918629759309106e-08 2.766152446962172633e-06
7.937005259840999543e+02 6.473470157352146542e-10 5.579150619240211346e-08 2.770258055483518558e-06
1.089430637619929712e+03 6.467639264429817936e-10 5.581431944934263241e-08 2.773134049720560262e-06
1.495348781221220406e+03 6.466862232848092603e-10 5.583040733166891758e-08 2.775169448914950005e-06
2.052510642058783560e+03 6.463939495450725792e-10 5.584207259501555323e-08 2.776621427775588821e-06
2.817269113847842618e+03 6.462089258500535559e-10 5.585047204977174076e-08 2.777663206371610548e-06
3.866973986492824224e+03 6.460346384095159178e-10 5.585655317294466090e-08 2.778413044167674235e-06
5.307795318065535866e+03 6.459859825710896606e-10 5.586086630943097249e-08 2.778952144380325027e-06
7.285461768526097330e+03 6.440913645321461045e-10 5.586479078629616872e-08 2.779335844755814927e-06
1.000000000000000000e+04 6.439626326661616725e-10 5.586674363207687061e-08 2.779600573072051053e-06
