# Xenon1T conversion factors Y for operators (7,7) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:28:02)
5.000000000000000888e+00 3.082810198644670127e-14 1.041175755203524019e-12 3.738968674332638571e-11
6.862982963688712523e+00 2.756174747578136978e-14 9.214077211276922042e-13 3.288848540225766055e-11
9.420107031976296952e+00 2.283824998317247030e-14 7.760081189281984195e-13 2.742938773987957408e-11
1.293000681531550811e+01 1.871230207675447043e-14 6.230831948678819222e-13 2.178190062450414629e-11
1.774768329877785433e+01 1.516394655001280128e-14 4.981048426508795577e-13 1.713538646607657764e-11
2.436040962489102668e+01 1.310193716371287066e-14 4.037574632956730662e-13 1.361342561877876450e-11
3.343701524882109766e+01 1.164571867448548251e-14 3.310885552260587777e-13 1.093738287782475761e-11
4.589553320185178364e+01 1.046402426239717948e-14 2.773857925135666173e-13 9.037724500514018593e-12
6.299605249474369373e+01 9.485254500748802582e-15 2.404188586955900212e-13 7.753000922791428079e-12
8.646816701021307949e+01 8.747936961795336651e-15 2.166601889979139415e-13 6.955085794997157131e-12
1.186859114184965591e+02 8.233338957089497672e-15 2.015545231824300133e-13 6.455609540760463581e-12
1.629078776190019084e+02 7.886914510819460995e-15 1.916075059549027134e-13 6.130347128187710109e-12
2.236067977499789663e+02 7.655885413768913811e-15 2.530011819724521029e-13 5.794019602459443589e-12
3.069219287046186651e+02 7.501060095732909008e-15 1.774409403130189536e-13 5.665957818769839789e-12
4.212799935764559223e+02 7.396183349421628878e-15 1.748006912722493587e-13 5.580601053590107313e-12
5.782474837716208640e+02 7.324246946981740476e-15 1.730059951062197622e-13 5.522678655928230662e-12
7.937005259840999543e+02 7.274308064864142394e-15 1.717676981783863985e-13 5.482759809442751612e-12
1.089430637619929712e+03 7.239273260908833236e-15 1.709026164529801304e-13 5.454894568333519010e-12
1.495348781221220406e+03 7.214479424762793217e-15 1.702922002930038238e-13 5.435243395975944151e-12
2.052510642058783560e+03 7.196810496695032722e-15 1.698580956525422230e-13 5.421273759191996216e-12
2.817269113847842618e+03 7.184149814905637080e-15 1.695474943468118083e-13 5.411281315812982644e-12
3.866973986492824224e+03 7.175037425541242597e-15 1.693241789344788446e-13 5.404098431814912729e-12
5.307795318065535866e+03 7.168452022520327356e-15 1.691629200530464783e-13 5.398912374349936429e-12
7.285461768526097330e+03 7.163669183028329786e-15 1.690458800792779272e-13 5.395148882024215657e-12
1.000000000000000000e+04 7.160166868154926445e-15 1.689602394988632243e-13 5.392395461344358942e-12
