# Xenon1T conversion factors Y for operators (6,6) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:27:57)
5.000000000000000888e+00 1.757429898415104989e-16 8.542897338107762228e-15 3.130142964402211701e-13
6.862982963688712523e+00 4.380486343485607232e-16 2.224071624670900218e-14 8.306963341081766859e-13
9.420107031976296952e+00 9.298489202138305204e-16 4.983190357426811337e-14 1.912293122729319657e-12
1.293000681531550811e+01 1.723812653939348524e-15 9.950545344835526912e-14 3.965811418007730863e-12
1.774768329877785433e+01 2.964539010111205356e-15 1.923457890005117654e-13 8.144741092652198761e-12
2.436040962489102668e+01 4.871926881409809646e-15 3.838588270028450566e-13 1.777326720560511422e-11
3.343701524882109766e+01 7.051082131793018317e-15 6.766762343351832974e-13 3.448602259787548999e-11
4.589553320185178364e+01 8.908762949770129375e-15 9.914301276108037714e-13 5.380853062511738239e-11
6.299605249474369373e+01 1.019437378213504113e-14 1.243386318522467687e-12 6.986739587290090337e-11
8.646816701021307949e+01 1.111226465514796466e-14 1.415310102171902054e-12 8.104280684199388231e-11
1.186859114184965591e+02 1.160642828482166602e-14 1.525525769252916972e-12 8.827765497141430657e-11
1.629078776190019084e+02 1.191236470475662468e-14 1.595355815635568856e-12 9.288691498148021260e-11
2.236067977499789663e+02 1.210607936477531486e-14 1.640045561844511394e-12 9.584733714027905723e-11
3.069219287046186651e+02 1.223176980859591160e-14 1.669387989317816706e-12 9.778939295412709416e-11
4.212799935764559223e+02 1.231524628103227397e-14 1.688847287057531142e-12 9.908070667581160342e-11
5.782474837716208640e+02 1.237181944789819928e-14 1.708194000014415179e-12 9.994446745134160767e-11
7.937005259840999543e+02 1.241080996836563030e-14 1.710703248045259353e-12 1.005395956113398272e-10
1.089430637619929712e+03 1.243804903317151391e-14 1.716996816418274824e-12 1.009590066346596767e-10
1.495348781221220406e+03 1.245728263916436898e-14 1.721443475926424889e-12 1.012543160385622647e-10
2.052510642058783560e+03 1.247097582166069945e-14 1.723102903791536885e-12 1.013975393615381838e-10
2.817269113847842618e+03 1.248078440052275765e-14 1.724877162176726462e-12 1.015100939321631857e-10
3.866973986492824224e+03 1.248783883604671352e-14 1.803724487676273156e-12 1.014645253933200248e-10
5.307795318065535866e+03 1.249291927303523740e-14 1.730795193530578739e-12 1.019421867109370058e-10
7.285461768526097330e+03 1.249656571667791763e-14 1.728391948855945381e-12 1.021069239195495041e-10
1.000000000000000000e+04 1.249914818907310965e-14 1.729009558442194289e-12 1.021482626096792696e-10
