# Xenon1T conversion factors Y for operators (8,8) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:31:51)
5.000000000000000888e+00 1.748538772936962758e-07 2.520569900951703276e-07 3.632954161769247731e-07
6.862982963688712523e+00 1.556076319997671069e-07 2.231806581142723367e-07 3.249877015229782839e-07
9.420107031976296952e+00 1.382635510009528449e-07 1.987342838505382398e-07 2.920721142999743754e-07
1.293000681531550811e+01 1.157605538544691486e-07 1.665192658116172743e-07 2.492583380059029754e-07
1.774768329877785433e+01 9.867464159055507315e-08 1.421636183369323082e-07 2.189944896335109852e-07
2.436040962489102668e+01 8.614058092166890005e-08 1.244977958343796035e-07 2.003389230845242698e-07
3.343701524882109766e+01 7.631016460813963847e-08 1.108968265907853714e-07 1.895036223122271765e-07
4.589553320185178364e+01 6.819821771259009709e-08 9.977581627727667250e-08 1.822878657459163617e-07
6.299605249474369373e+01 6.193192034685697693e-08 9.117476098506445407e-08 1.768342882357099128e-07
8.646816701021307949e+01 5.751410917275019216e-08 8.508803670847628925e-08 1.728048786713779003e-07
1.186859114184965591e+02 5.456381980154301301e-08 8.100981506002722589e-08 1.699832753799206796e-07
1.629078776190019084e+02 5.263146750546889309e-08 7.833237761962776923e-08 1.680712686460236539e-07
2.236067977499789663e+02 5.136478811514562803e-08 7.657444365074579394e-08 1.667899569894322345e-07
3.069219287046186651e+02 5.052524432135971015e-08 7.540797559750675338e-08 1.659283321192737684e-07
4.212799935764559223e+02 4.996070696203182332e-08 7.462311856376076142e-08 1.653433374461607664e-07
5.782474837716208640e+02 4.957539517564226311e-08 7.408706178610137067e-08 1.649420021696314795e-07
7.937005259840999543e+02 4.930885432261426419e-08 7.371606105857337987e-08 1.646633997750875718e-07
1.089430637619929712e+03 4.912229026150311318e-08 7.345636788723796231e-08 1.644680508616384258e-07
1.495348781221220406e+03 4.899051371526037446e-08 7.327287166450745094e-08 1.643299216363744183e-07
2.052510642058783560e+03 4.889674386119088972e-08 7.314216448151970837e-08 1.642317845762697817e-07
2.817269113847842618e+03 4.882956966446288951e-08 7.304864910871493686e-08 1.641614625495034313e-07
3.866973986492824224e+03 4.878131639676229610e-08 7.298141172298683046e-08 1.641108111122489209e-07
5.307795318065535866e+03 4.874637308721654901e-08 7.293274971796076781e-08 1.640741266370654418e-07
7.285461768526097330e+03 4.872103748629890494e-08 7.289737710187463642e-08 1.640471973035226229e-07
1.000000000000000000e+04 4.870244691334479907e-08 7.287137932781375750e-08 1.640269134647083665e-07
