# Xenon1T conversion factors Y for operators (8,9) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:58:14)
5.000000000000000888e+00 -9.428290000724556909e-12 -1.287250853897519472e-10 1.427411169973561629e-09
6.862982963688712523e+00 -1.479478722667959167e-11 -1.999524848801309034e-10 2.279554476431901992e-09
9.420107031976296952e+00 -2.159334657145141165e-11 -2.991683424509605155e-10 3.399693271762078505e-09
1.293000681531550811e+01 -2.927611580346000750e-11 -4.047142621422752549e-10 4.499747802812125830e-09
1.774768329877785433e+01 -4.447446898854747505e-11 -5.560020892713810050e-10 5.753735902059516731e-09
2.436040962489102668e+01 -6.582504996923444460e-11 -7.779685669536170455e-10 7.010522301215716250e-09
3.343701524882109766e+01 -9.718371143300520205e-11 -1.065945289323061787e-09 7.920898103815545142e-09
4.589553320185178364e+01 -1.305283023497125269e-10 -1.348565741685204385e-09 8.372903134234512909e-09
6.299605249474369373e+01 -1.571511028947123077e-10 -1.564986852065396597e-09 8.538064457152265096e-09
8.646816701021307949e+01 -1.753329538967962320e-10 -1.709698667126172792e-09 8.585577271706448456e-09
1.186859114184965591e+02 -1.870041547928096111e-10 -1.801665808025970063e-09 8.595076909900939896e-09
1.629078776190019084e+02 -1.944207018970288517e-10 -1.859817423893542431e-09 8.594250982808964734e-09
2.236067977499789663e+02 -1.991841650979725361e-10 -1.897093800689039054e-09 8.591477889771388062e-09
3.069219287046186651e+02 -2.022995346183076765e-10 -1.921460688699822286e-09 8.588880086323964697e-09
4.212799935764559223e+02 -2.043830567124947116e-10 -1.937716253018233419e-09 8.586895640392954019e-09
5.782474837716208640e+02 -2.057812107173355248e-10 -1.948776250366943947e-09 8.585472285934358272e-09
7.937005259840999543e+02 -2.067638716174189156e-10 -1.967273775196949568e-09 8.584463684113610755e-09
1.089430637619929712e+03 -2.074840361872980867e-10 -1.972569466572483102e-09 8.583757106151652514e-09
1.495348781221220406e+03 -2.079707186775659682e-10 -1.976337145319000778e-09 8.583269190344633000e-09
2.052510642058783560e+03 -2.083101466168482503e-10 -1.979010229706859769e-09 8.582913382495943724e-09
2.817269113847842618e+03 -2.084729357750164055e-10 -1.980999381341640851e-09 8.582730876057692341e-09
3.866973986492824224e+03 -2.086224769899051404e-10 -1.982387863322068799e-09 8.582547850164659026e-09
5.307795318065535866e+03 -2.086902079051195622e-10 -1.983478643918553913e-09 8.582551714610851009e-09
7.285461768526097330e+03 -2.085665495780609038e-10 -1.984247104012576176e-09 8.582353080345509114e-09
1.000000000000000000e+04 -2.090005549725989371e-10 -1.984567811368456036e-09 8.582173291620945944e-09
