# Xenon1T conversion factors Y for operators (9,9) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 15/6/2017 (17:33:07)
5.000000000000000888e+00 1.117315505090861629e-12 3.772718723465448631e-11 1.354643257490411397e-09
6.862982963688712523e+00 1.758381039130748428e-12 5.891532719957064716e-11 2.101686119564927908e-09
9.420107031976296952e+00 2.509380409997797017e-12 8.625421590275312208e-11 3.046036708986843941e-09
1.293000681531550811e+01 3.270248217063022602e-12 1.125501862928658089e-10 3.925626239438678565e-09
1.774768329877785433e+01 4.590918991817321191e-12 1.426952247290127996e-10 4.890892264098466512e-09
2.436040962489102668e+01 5.875565309193718192e-12 1.756041586175223055e-10 5.865269157687042879e-09
3.343701524882109766e+01 7.895732427349534745e-12 2.062753346019456313e-10 6.705073286278238003e-09
4.589553320185178364e+01 9.655021124495001019e-12 2.302559913391166064e-10 7.318098254595669537e-09
6.299605249474369373e+01 1.104940672643977813e-11 2.462982002810744341e-10 7.713126139392774146e-09
8.646816701021307949e+01 1.199161168319429126e-11 2.562641385253089578e-10 7.953845501094551860e-09
1.186859114184965591e+02 1.259382429141728807e-11 2.623670352141007303e-10 8.099612206407362728e-09
1.629078776190019084e+02 1.297561209198092045e-11 2.661521985430415345e-10 8.189529759621558784e-09
2.236067977499789663e+02 1.315601282051554312e-11 2.685900835072533914e-10 8.246505018634359588e-09
3.069219287046186651e+02 1.332054421845447672e-11 2.701548427040426638e-10 8.283549721356273450e-09
4.212799935764559223e+02 1.343036095418260553e-11 2.711947572071018778e-10 8.308226131297475275e-09
5.782474837716208640e+02 1.350500612612924433e-11 2.719054640067365201e-10 8.324997903198734983e-09
7.937005259840999543e+02 1.355654395782362263e-11 2.723956768478130005e-10 8.336584521782043217e-09
1.089430637619929712e+03 1.359258749020563963e-11 2.727397826605158910e-10 8.344707427766096342e-09
1.495348781221220406e+03 1.361805417568210019e-11 2.729804898128354283e-10 8.350448931456227311e-09
2.052510642058783560e+03 1.363619143397934473e-11 2.731547918458097682e-10 8.354589584989010395e-09
2.817269113847842618e+03 1.364918597958487031e-11 2.732785427434973451e-10 8.357537658337553900e-09
3.866973986492824224e+03 1.365853366068496950e-11 2.733627339487810943e-10 8.359693161620091672e-09
5.307795318065535866e+03 1.366526899355376273e-11 2.734481964271397207e-10 8.361123125319167159e-09
7.285461768526097330e+03 1.367011046136394989e-11 2.735273107848002167e-10 8.363902219672925756e-09
1.000000000000000000e+04 1.367355367449907280e-11 2.735501208093605245e-10 8.364349983555244487e-09
