# LUX conversion factors Y for operators (106,106) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:38:53)
5.000000000000000888e+00 1.084384045226219070e-09 5.262488520097136766e-08 1.926250004392833123e-06
6.862982963688712523e+00 1.024323901547466368e-09 5.131145367734459113e-08 1.900485596691905539e-06
9.420107031976296952e+00 9.811510059255984564e-10 5.064759450726563959e-08 1.906870667581590516e-06
1.293000681531550811e+01 9.343135728869259262e-10 5.039359765524747111e-08 1.940833901240028555e-06
1.774768329877785433e+01 8.837337405078641020e-10 5.052034108656610340e-08 2.007585870661274644e-06
2.436040962489102668e+01 8.288420710100372850e-10 5.111063900260671836e-08 2.119279298853383421e-06
3.343701524882109766e+01 7.736709695267434565e-10 5.222855555018626499e-08 2.283549230499341906e-06
4.589553320185178364e+01 7.263015333701898859e-10 5.361749108041098567e-08 2.469357883658295611e-06
6.299605249474369373e+01 6.917081727681620899e-10 5.481835966005750502e-08 2.630176716809598812e-06
8.646816701021307949e+01 6.689517056529722360e-10 5.571352557992109667e-08 2.747052343506519297e-06
1.186859114184965591e+02 6.546268998771118634e-10 5.631702127870688457e-08 2.825224235129434680e-06
1.629078776190019084e+02 6.456913936117084299e-10 5.671166827465551394e-08 2.876047819827798528e-06
2.236067977499789663e+02 6.400463318049356685e-10 5.697097187012760671e-08 2.909173889928426959e-06
3.069219287046186651e+02 6.364070800093498265e-10 5.714301059423364219e-08 2.931035122219435432e-06
4.212799935764559223e+02 6.340107579157781774e-10 5.725972045644155878e-08 2.945703740307275635e-06
5.782474837716208640e+02 6.324012062279068121e-10 5.733946592829387440e-08 2.955709144841623008e-06
7.937005259840999543e+02 6.313012519887434735e-10 5.739511413558174024e-08 2.962633723269103061e-06
1.089430637619929712e+03 6.305387093353278266e-10 5.743419276215242906e-08 2.967485513457515351e-06
1.495348781221220406e+03 6.300039952691312852e-10 5.746195731670502820e-08 2.970917980341349415e-06
2.052510642058783560e+03 6.296256696147725498e-10 5.748181969148137170e-08 2.973365343825132007e-06
2.817269113847842618e+03 6.293560787469973521e-10 5.749613374473098814e-08 2.975120320553348543e-06
3.866973986492824224e+03 6.291627313126180571e-10 5.750639366784999131e-08 2.976382945875615932e-06
5.307795318065535866e+03 6.290229666368998966e-10 5.751378977760697396e-08 2.977292445655724920e-06
7.285461768526097330e+03 6.289205405977492091e-10 5.751901924024643292e-08 2.977943702879754497e-06
1.000000000000000000e+04 6.288433383625358637e-10 5.752250474761984580e-08 2.978402255156529957e-06
