# LUX conversion factors Y for operators (8,8) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:26:58)
5.000000000000000888e+00 1.866505534954895395e-07 2.680660404994804787e-07 3.870690001455830566e-07
6.862982963688712523e+00 1.540057950454950729e-07 2.213796872334557440e-07 3.217917148486392877e-07
9.420107031976296952e+00 1.289000582685952806e-07 1.853501482191098041e-07 2.724001470624555851e-07
1.293000681531550811e+01 1.096725246498172860e-07 1.578126975750823764e-07 2.360512473029300540e-07
1.774768329877785433e+01 9.507685147816404874e-08 1.370044834750952005e-07 2.107480224948496735e-07
2.436040962489102668e+01 8.403794161815089276e-08 1.214641634200504849e-07 1.950475261959150828e-07
3.343701524882109766e+01 7.541140723183543904e-08 1.096107788834500336e-07 1.871475045399820779e-07
4.589553320185178364e+01 6.828052552949073623e-08 9.998954222623926124e-08 1.836123280780093674e-07
6.299605249474369373e+01 6.262139153959441559e-08 9.236448112884648648e-08 1.817058919061297223e-07
8.646816701021307949e+01 5.850480740052290546e-08 8.678538607507936248e-08 1.803765681762487585e-07
1.186859114184965591e+02 5.569035091737530471e-08 8.294742986060383382e-08 1.793845078729109945e-07
1.629078776190019084e+02 5.381697698031832990e-08 8.038044216598924600e-08 1.786573485865888726e-07
2.236067977499789663e+02 5.257678041703202374e-08 7.867536679114850490e-08 1.781426593619968839e-07
3.069219287046186651e+02 5.174961645574712301e-08 7.753540242907826555e-08 1.777830459432780476e-07
4.212799935764559223e+02 5.119102696118786867e-08 7.676450295878911732e-08 1.775327394293471690e-07
5.782474837716208640e+02 5.080880272433290426e-08 7.623633666886239553e-08 1.773581118323867133e-07
7.937005259840999543e+02 5.054386593762787144e-08 7.587015551294446209e-08 1.772352945910396518e-07
1.089430637619929712e+03 5.035830063460077300e-08 7.561333010280437176e-08 1.771488582607525892e-07
1.495348781221220406e+03 5.022650204790440868e-08 7.543195613931162393e-08 1.770874943046963542e-07
2.052510642058783560e+03 5.013306531584377671e-08 7.530259144173507504e-08 1.770437241858727363e-07
2.817269113847842618e+03 5.006623175577858454e-08 7.521009477257174331e-08 1.770111827424174376e-07
3.866973986492824224e+03 5.001812311702621868e-08 7.514310150643587300e-08 1.769891651466342812e-07
5.307795318065535866e+03 4.998311141313025881e-08 7.509445222615371639e-08 1.769738210758888246e-07
7.285461768526097330e+03 4.995778245696838525e-08 7.505967109424127892e-08 1.769614928290452003e-07
1.000000000000000000e+04 4.993874244296887495e-08 7.503312842209743740e-08 1.769507276410351397e-07
