# LUX conversion factors Y for operators (3,3) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:22:01)
5.000000000000000888e+00 2.021928775442888101e-09 2.577987910643714541e-09 3.549456287208425575e-09
6.862982963688712523e+00 4.210114535223261517e-09 5.403690168445376193e-09 7.484349316914572867e-09
9.420107031976296952e+00 8.867418573881360574e-09 1.138266796201128548e-08 1.578662029478625487e-08
1.293000681531550811e+01 1.867062342741991031e-08 2.388945407406114184e-08 3.299714011557248990e-08
1.774768329877785433e+01 3.904000972371453591e-08 4.955112603631159961e-08 6.778265215382128955e-08
2.436040962489102668e+01 8.024885149229703947e-08 1.004026925751478486e-07 1.349813428104633380e-07
3.343701524882109766e+01 1.527541989735100237e-07 1.876322768513556914e-07 2.465371596727789474e-07
4.589553320185178364e+01 2.444430706715282000e-07 2.958807493403929387e-07 3.814262552736476145e-07
6.299605249474369373e+01 3.286065797800068137e-07 3.941056963801369297e-07 5.018086327043396384e-07
8.646816701021307949e+01 3.916204521167884336e-07 4.671409645708689612e-07 5.904176949208441543e-07
1.186859114184965591e+02 4.343273284555808470e-07 5.164286535553244453e-07 6.498450778455824510e-07
1.629078776190019084e+02 4.622466453773468311e-07 5.485604044127217465e-07 6.884348281981991136e-07
2.236067977499789663e+02 4.804476854285364780e-07 5.694673382801363562e-07 7.134778207726972699e-07
3.069219287046186651e+02 4.924411012552351191e-07 5.832245317096935717e-07 7.299259900560958531e-07
4.212799935764559223e+02 5.004692791318463552e-07 5.924238781372208651e-07 7.409099229359992166e-07
5.782474837716208640e+02 5.059310893796506600e-07 5.986773320037412598e-07 7.483690620666004098e-07
7.937005259840999543e+02 5.097017158874253467e-07 6.029918248002772322e-07 7.535116928655019966e-07
1.089430637619929712e+03 5.123376385305306182e-07 6.060061563469115455e-07 7.571022944980116250e-07
1.495348781221220406e+03 5.141984980268072590e-07 6.081337080637854298e-07 7.596356952341371572e-07
2.052510642058783560e+03 5.155219674790274544e-07 6.096472041549252693e-07 7.614380887977234738e-07
2.817269113847842618e+03 5.164698825817942815e-07 6.107315035841644937e-07 7.627264374343456778e-07
3.866973986492824224e+03 5.171516910922010070e-07 6.115105479689856012e-07 7.636534761670712090e-07
5.307795318065535866e+03 5.176432374637697668e-07 6.120730818205617981e-07 7.643211992277727308e-07
7.285461768526097330e+03 5.179982366995376308e-07 6.124775742492901907e-07 7.648026564856772229e-07
1.000000000000000000e+04 5.182525556400934038e-07 6.127664173134286866e-07 7.651478911079671259e-07
