# LUX conversion factors Y for operators (9,9) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:27:21)
5.000000000000000888e+00 1.290279311259364627e-12 4.347517393088803303e-11 1.559749019316769384e-09
6.862982963688712523e+00 1.719756693150002487e-12 5.807637451502892078e-11 2.073744287226682815e-09
9.420107031976296952e+00 2.367345768897241972e-12 7.830147546929562992e-11 2.774092082596945986e-09
1.293000681531550811e+01 3.225178055845843596e-12 1.041316033894499267e-10 3.646012659332341340e-09
1.774768329877785433e+01 4.345762070484897068e-12 1.350355402602053429e-10 4.639496528680686633e-09
2.436040962489102668e+01 5.818544316902681765e-12 1.686897619767097147e-10 5.648272844311593550e-09
3.343701524882109766e+01 7.826894919259639987e-12 2.016280387432609916e-10 6.554107334065836854e-09
4.589553320185178364e+01 1.022692318751020367e-11 2.297716044058909031e-10 7.286358451368051656e-09
6.299605249474369373e+01 1.246499444235775660e-11 2.507509356475843117e-10 7.823938674561815302e-09
8.646816701021307949e+01 1.418421387707028769e-11 2.649554823202858823e-10 8.188817174798620177e-09
1.186859114184965591e+02 1.537370477992004902e-11 2.741684196893176706e-10 8.426279372092848704e-09
1.629078776190019084e+02 1.616263204506391414e-11 2.798496388880650149e-10 8.579059433546103941e-09
2.236067977499789663e+02 1.668223087615539703e-11 2.838317824350715648e-10 8.678070821073120363e-09
3.069219287046186651e+02 1.702713827622616429e-11 2.863341610821860286e-10 8.743297858997930834e-09
4.212799935764559223e+02 1.725927140401534131e-11 2.880104934074109208e-10 8.787037459907190896e-09
5.782474837716208640e+02 1.741783886832008053e-11 2.889787528988287970e-10 8.816814902019355692e-09
7.937005259840999543e+02 1.752764453377772038e-11 2.899324887798678355e-10 8.837144300175209751e-09
1.089430637619929712e+03 1.760457486050837199e-11 2.904886827532816392e-10 8.851671091552970383e-09
1.495348781221220406e+03 1.765898687445066915e-11 2.908797603320686569e-10 8.861884427611549992e-09
2.052510642058783560e+03 1.769776123594787133e-11 2.911321405281614659e-10 8.868379756848105722e-09
2.817269113847842618e+03 1.772555031691805356e-11 2.913323697597988235e-10 8.873611065636901377e-09
3.866973986492824224e+03 1.774554733295629258e-11 2.914764832144254582e-10 8.877376380046936099e-09
5.307795318065535866e+03 1.775996903218264124e-11 2.915802968661630038e-10 8.880087765267922519e-09
7.285461768526097330e+03 1.777036430797082293e-11 2.916547547865229924e-10 8.882029524193692089e-09
1.000000000000000000e+04 1.777781451046865317e-11 2.917073278174400259e-10 8.883394392015256179e-09
