# LUX conversion factors Y for operators (11,11) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:30:54)
5.000000000000000888e+00 1.102736881854944639e-04 1.582283833368360731e-04 2.259318341486505049e-04
6.862982963688712523e+00 1.558904591026635464e-04 2.236610809480672854e-04 3.189665015783707514e-04
9.420107031976296952e+00 2.197857570103728007e-04 3.150482327780860419e-04 4.480941950579022943e-04
1.293000681531550811e+01 3.071640950825979522e-04 4.396015755912247697e-04 6.224873922759235683e-04
1.774768329877785433e+01 4.231238848755869962e-04 6.042924552136058310e-04 8.499090410078911310e-04
2.436040962489102668e+01 5.694597227755436499e-04 8.117511530927209963e-04 1.130404136843321397e-03
3.343701524882109766e+01 7.340784144636940383e-04 1.046343501681925529e-03 1.438845451152544587e-03
4.589553320185178364e+01 8.847730681827994069e-04 1.263605528886724023e-03 1.717016502995412060e-03
6.299605249474369373e+01 9.979728247889382842e-04 1.428826682842835889e-03 1.924428967970139535e-03
8.646816701021307949e+01 1.073357442097620058e-03 1.539902575410309138e-03 2.062104912295153417e-03
1.186859114184965591e+02 1.121158327690258529e-03 1.610774838140162672e-03 2.149283576272100881e-03
1.629078776190019084e+02 1.151240289466316574e-03 1.655545320857772663e-03 2.204109605808092162e-03
2.236067977499789663e+02 1.170432230815074632e-03 1.684171871027818597e-03 2.239077057683652467e-03
3.069219287046186651e+02 1.182916843685237560e-03 1.702818297425861540e-03 2.261819901829895899e-03
4.212799935764559223e+02 1.191209376751276158e-03 1.715213037487366664e-03 2.276924563278152035e-03
5.782474837716208640e+02 1.196824092452063778e-03 1.723609306521806279e-03 2.287150883570647150e-03
7.937005259840999543e+02 1.200688860036021885e-03 1.729390291510240129e-03 2.294189719334518030e-03
1.089430637619929712e+03 1.203385571948847399e-03 1.733424417503490233e-03 2.299100717772556337e-03
1.495348781221220406e+03 1.205287471773816826e-03 1.736270043691998197e-03 2.302564592199247105e-03
2.052510642058783560e+03 1.206640264400578614e-03 1.738294191073334058e-03 2.305028437814585999e-03
2.817269113847842618e+03 1.207608658025353596e-03 1.739743056590899043e-03 2.306792077929744906e-03
3.866973986492824224e+03 1.208304706376504487e-03 1.740785309289238220e-03 2.308059817674835285e-03
5.307795318065535866e+03 1.208805803541246641e-03 1.741535196960534689e-03 2.308972394238758673e-03
7.285461768526097330e+03 1.209165413245729412e-03 1.742073514164987728e-03 2.309627048694524835e-03
1.000000000000000000e+04 1.209420156059818393e-03 1.742455183843123409e-03 2.310090272213127793e-03
