# LUX conversion factors Y for operators (1,3) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:44:09)
5.000000000000000888e+00 -4.439335523801812616e-05 -6.056685869394826550e-05 -8.123832403069325197e-05
6.862982963688712523e+00 -6.293372182656693141e-05 -8.612248330466698468e-05 -1.157449092183310312e-04
9.420107031976296952e+00 -8.928380605958663701e-05 -1.221782656669682639e-04 -1.639309112079177517e-04
1.293000681531550811e+01 -1.261039659532744756e-04 -1.721548631414366530e-04 -2.298517854249472405e-04
1.774768329877785433e+01 -1.766466008014454616e-04 -2.399924211657175242e-04 -3.175801389876152319e-04
2.436040962489102668e+01 -2.439872047125274271e-04 -3.289784392196927953e-04 -4.291379971092672860e-04
3.343701524882109766e+01 -3.257520076829239120e-04 -4.352081152642643582e-04 -5.567641455398193023e-04
4.589553320185178364e+01 -4.064004914395050964e-04 -5.387279749634220826e-04 -6.761727070415568704e-04
6.299605249474369373e+01 -4.704732787507280730e-04 -6.203657272724165525e-04 -7.675949860896506046e-04
8.646816701021307949e+01 -5.147309573730272361e-04 -6.766112326024409200e-04 -8.292841725998915297e-04
1.186859114184965591e+02 -5.434232754873400979e-04 -7.129622348385320114e-04 -8.687098349914757628e-04
1.629078776190019084e+02 -5.617199401691627030e-04 -7.361044576687616244e-04 -8.936277639633587481e-04
2.236067977499789663e+02 -5.734832906511317004e-04 -7.509649800317198549e-04 -9.095582097086523342e-04
3.069219287046186651e+02 -5.811717367333707170e-04 -7.606682171060307873e-04 -9.199308176081141429e-04
4.212799935764559223e+02 -5.862934295286141659e-04 -7.671269757439822760e-04 -9.268226442190933244e-04
5.782474837716208640e+02 -5.897676001316015789e-04 -7.715054708197562495e-04 -9.314887470193456429e-04
7.937005259840999543e+02 -5.921616585565837344e-04 -7.745214358069986904e-04 -9.347000470316388972e-04
1.089430637619929712e+03 -5.938334105608780375e-04 -7.766264355003745738e-04 -9.369401742193849423e-04
1.495348781221220406e+03 -5.950129109746225744e-04 -7.781114321233924659e-04 -9.385198328692417446e-04
2.052510642058783560e+03 -5.958521319092016742e-04 -7.791677583502403404e-04 -9.396431976241357946e-04
2.817269113847842618e+03 -5.964529169693135510e-04 -7.799238139436811927e-04 -9.404471576177120306e-04
3.866973986492824224e+03 -5.968848447194526974e-04 -7.804673062062100937e-04 -9.410249990836377009e-04
5.307795318065535866e+03 -5.971959609330754247e-04 -7.808587223383542213e-04 -9.414410145510806105e-04
7.285461768526097330e+03 -5.974196077005913125e-04 -7.811400054181128361e-04 -9.417396917313073561e-04
1.000000000000000000e+04 -5.975787942780595328e-04 -7.813400621254763638e-04 -9.419515633466284685e-04
