# LUX conversion factors Y for operators (4,6) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:45:13)
5.000000000000000888e+00 4.789135895726060147e-13 2.323338065138973297e-11 8.513731458299384092e-10
6.862982963688712523e+00 6.245600558382557530e-13 3.167240602550410930e-11 1.176626340055821592e-09
9.420107031976296952e+00 8.388239042580483000e-13 4.404969203945674365e-11 1.670282226608574536e-09
1.293000681531550811e+01 1.104255829747404404e-12 6.141326441835085497e-11 2.400233570164044053e-09
1.774768329877785433e+01 1.411869761406649777e-12 8.533587875765277147e-11 3.489110625823258901e-09
2.436040962489102668e+01 1.724654276432107701e-12 1.177839313134469167e-10 5.147657559483817661e-09
3.343701524882109766e+01 1.989772545563943234e-12 1.587589144091107706e-10 7.555845112306571686e-09
4.589553320185178364e+01 2.167805255288481820e-12 2.008409372091103470e-10 1.033064067133402571e-08
6.299605249474369373e+01 2.268938447596979471e-12 2.357642885647158057e-10 1.277776575092545061e-08
8.646816701021307949e+01 2.323129944548576426e-12 2.603777836390060735e-10 1.457880797659168803e-08
1.186859114184965591e+02 2.352799773331141407e-12 2.765394746860864016e-10 1.579083942962670515e-08
1.629078776190019084e+02 2.369867732077394659e-12 2.869628587338511090e-10 1.658100480793301239e-08
2.236067977499789663e+02 2.379816191116579921e-12 2.937072406195346227e-10 1.709578692304964544e-08
3.069219287046186651e+02 2.386426179457972553e-12 2.981581529509854074e-10 1.743504021381364808e-08
4.212799935764559223e+02 2.390778089175214561e-12 3.010935384597614644e-10 1.766230775074769279e-08
5.782474837716208640e+02 2.393720504026849627e-12 3.031054196346306721e-10 1.781703406094831288e-08
7.937005259840999543e+02 2.395750278082242097e-12 3.044563229778089978e-10 1.792400540984910121e-08
1.089430637619929712e+03 2.397171859780768781e-12 3.054659056473867422e-10 1.799875276214050437e-08
1.495348781221220406e+03 2.398178947487215924e-12 3.061521478203800014e-10 1.805158626202231225e-08
2.052510642058783560e+03 2.398898513675797009e-12 3.066417224177913361e-10 1.808925211908584930e-08
2.817269113847842618e+03 2.399415653413931708e-12 3.069902084010589417e-10 1.811597052754575340e-08
3.866973986492824224e+03 2.399788156432040887e-12 3.072405249254975253e-10 1.813546486467643074e-08
5.307795318065535866e+03 2.400055290179039165e-12 3.074184388067235568e-10 1.814942536489914247e-08
7.285461768526097330e+03 2.400243141526312610e-12 3.075533174922379239e-10 1.815951688599160535e-08
1.000000000000000000e+04 2.400367777411175069e-12 3.076460113057605117e-10 1.816669627316729387e-08
