# LUX conversion factors Y for operators (105,105) [See arXiv:1307.5955, LR operators numbered +100]
# Columns: DM mass (GeV), Y_pp, Y_pn, Y_nn
# Created on 16/6/2017 (11:37:13)
5.000000000000000888e+00 4.264292013255892625e-04 6.123317962212149667e-04 8.840532341950438789e-04
6.862982963688712523e+00 2.531914737377208139e-04 3.638839443358514989e-04 5.289566731154956561e-04
9.420107031976296952e+00 1.531512134702002546e-04 2.202495659165739630e-04 3.235497506273868687e-04
1.293000681531550811e+01 9.573288018190301372e-05 1.377958307038250276e-04 2.057391952075270666e-04
1.774768329877785433e+01 6.247297320774554614e-05 9.005288192571317472e-05 1.377045221740517142e-04
2.436040962489102668e+01 4.297381382586633319e-05 6.209266776119102920e-05 9.811232460568632303e-05
3.343701524882109766e+01 3.145859776361068053e-05 4.561368599440524072e-05 7.510182160255944920e-05
4.589553320185178364e+01 2.469096586155695565e-05 3.595081092102871091e-05 6.191020824920036346e-05
6.299605249474369373e+01 2.074482716230085599e-05 3.032429571562730513e-05 5.441382285460875321e-05
8.646816701021307949e+01 1.843600644789406906e-05 2.703353028089237141e-05 5.011378365101742900e-05
1.186859114184965591e+02 1.706195142096613492e-05 2.507506840576896395e-05 4.758802959218507214e-05
1.629078776190019084e+02 1.622338351479119366e-05 2.387901237266050949e-05 4.605823314061654523e-05
2.236067977499789663e+02 1.569730408690049199e-05 2.312861722424300502e-05 4.510357516153287396e-05
3.069219287046186651e+02 1.535830111272286786e-05 2.264494428963939029e-05 4.449041077012195328e-05
4.212799935764559223e+02 1.513448306724806396e-05 2.232554975029505483e-05 4.408648817088540664e-05
5.782474837716208640e+02 1.498358087439002296e-05 2.211017596193196242e-05 4.381459212369210986e-05
7.937005259840999543e+02 1.488004663773045445e-05 2.196239240411189048e-05 4.362826433240812434e-05
1.089430637619929712e+03 1.480800138767718716e-05 2.185954667106474136e-05 4.349872885172145829e-05
1.495348781221220406e+03 1.475730669053046757e-05 2.178717493305744321e-05 4.340765086146168361e-05
2.052510642058783560e+03 1.472132645346486027e-05 2.173580776687377962e-05 4.334305021946748855e-05
2.817269113847842618e+03 1.469561964052073346e-05 2.169910652312846987e-05 4.329691915567931678e-05
3.866973986492824224e+03 1.467715543967999602e-05 2.167274605837407096e-05 4.326379527930602136e-05
5.307795318065535866e+03 1.466383190681161979e-05 2.165372323367928547e-05 4.323988368410617271e-05
7.285461768526097330e+03 1.465416569961611949e-05 2.163992000950981575e-05 4.322249864562483927e-05
1.000000000000000000e+04 1.464709258094512497e-05 2.162981422373437378e-05 4.320969879513811361e-05
